CHROM	start	stop	length	midpoint
chr1	1	249250621	249250621	124625310
chr2	249250622	492449994	243199373	370850307
chr3	492449995	690472424	198022430	591461209
chr4	690472425	881626700	191154276	786049562
chr5	881626701	1062541960	180915260	972084330
chr6	1062541961	1233657027	171115067	1148099494
chr7	1233657028	1392795690	159138663	1313226359
chr8	1392795691	1539159712	146364022	1465977701
chr9	1539159713	1680373143	141213431	1609766428
chr10	1680373144	1815907890	135534747	1748140517
chr11	1815907891	1950914406	135006516	1883411148
chr12	1950914407	2084766301	133851895	2017840354
chr13	2084766302	2199936179	115169878	2142351240
chr14	2199936180	2307285719	107349540	2253610949
chr15	2307285720	2409817111	102531392	2358551415
chr16	2409817112	2500171864	90354753	2454994487
chr17	2500171865	2581367074	81195210	2540769469
chr18	2581367075	2659444322	78077248	2620405698
chr19	2659444323	2718573305	59128983	2689008814
chr20	2718573306	2781598825	63025520	2750086065
chr21	2781598826	2829728720	48129895	2805663773
chr22	2829728721	2881033286	51304566	2855381003
chrX	2881033287	3036303846	155270560	2958668566
chrY	3036303847	3095677412	59373566	3065990629
